S.N,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard,Win Team
84,England,West Indies,England,8 wickets,Southampton,2019-06-14,ODI # 4158,Team 1
85,Australia,Sri Lanka,Australia,87 runs,The Oval,2019-06-15,ODI # 4159,Team 1
86,Afghanistan,South Africa,South Africa,9 wickets,Cardiff,2019-06-15,ODI # 4160,Team 2
87,India,Pakistan,India,89 runs,Manchester,2019-06-16,ODI # 4161,Team 1
88,Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,2019-06-17,ODI # 4162,Team 1
89,England,Afghanistan,England,150 runs,Manchester,2019-06-18,ODI # 4163,Team 1
90,Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,2019-06-19,ODI # 4164,Team 1
91,New Zealand,South Africa,New Zealand,4 wickets,Birmingham,2019-06-19,ODI # 4165,Team 1
92,Australia,Bangladesh,Australia,48 runs,Nottingham,2019-06-20,ODI # 4166,Team 1
93,Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,2019-06-21,ODI # 4167,Team 1
94,England,Sri Lanka,Sri Lanka,20 runs,Leeds,2019-06-21,ODI # 4168,Team 2
95,Afghanistan,India,India,11 runs,Southampton,2019-06-22,ODI # 4169,Team 2
96,New Zealand,West Indies,New Zealand,5 runs,Manchester,2019-06-22,ODI # 4170,Team 1
97,Pakistan,South Africa,Pakistan,49 runs,Lord's,2019-06-23,ODI # 4171,Team 1
98,Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,2019-06-24,ODI # 4172,Team 2
99,England,Australia,Australia,64 runs,Lord's,2019-06-25,ODI # 4173,Team 2
100,New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,2019-06-26,ODI # 4174,Team 2
101,India,West Indies,India,125 runs,Manchester,2019-06-27,ODI # 4175,Team 1
102,South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,2019-06-28,ODI # 4176,Team 1
103,Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,2019-06-29,ODI # 4177,Team 2
104,Australia,New Zealand,Australia,86 runs,Lord's,2019-06-29,ODI # 4178,Team 1
105,England,India,England,31 runs,Birmingham,2019-06-30,ODI # 4179,Team 1
106,Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,2019-07-01,ODI # 4180,Team 1
107,Ireland,Zimbabwe,Ireland,4 wickets,Bready,2019-07-01,ODI # 4181,Team 1
108,Bangladesh,India,India,28 runs,Birmingham,2019-07-02,ODI # 4182,Team 2
109,England,New Zealand,England,119 runs,Chester-le-Street,2019-07-03,ODI # 4183,Team 1
110,Afghanistan,West Indies,West Indies,23 runs,Leeds,2019-07-04,ODI # 4184,Team 2
111,Ireland,Zimbabwe,Ireland,5 runs,Belfast,2019-07-04,ODI # 4185,Team 1
112,Bangladesh,Pakistan,Pakistan,94 runs,Lord's,2019-07-05,ODI # 4186,Team 2
113,India,Sri Lanka,India,7 wickets,Leeds,2019-07-06,ODI # 4187,Team 1
114,Australia,South Africa,South Africa,10 runs,Manchester,2019-07-06,ODI # 4188,Team 2
115,Ireland,Zimbabwe,Ireland,6 wickets,Belfast,2019-07-07,ODI # 4189,Team 1
116,India,New Zealand,New Zealand,18 runs,Manchester,2019-07-09,ODI # 4190,Team 2
117,England,Australia,England,8 wickets,Birmingham,2019-07-11,ODI # 4191,Team 1
118,England,New Zealand,tied,-,Lord's,2019-07-14,ODI # 4192,No Result
119,Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),2019-07-26,ODI # 4193,Team 1
120,Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),2019-07-28,ODI # 4194,Team 1
121,Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),2019-07-31,ODI # 4195,Team 1
122,West Indies,India,no result,-,Providence,2019-08-08,ODI # 4196,No Result
123,West Indies,India,India,59 runs,Port of Spain,2019-08-11,ODI # 4197,Team 2
124,Oman,P.N.G.,Oman,4 wickets,Aberdeen,2019-08-14,ODI # 4198,Team 1
125,West Indies,India,India,6 wickets,Port of Spain,2019-08-14,ODI # 4199,Team 2
126,Scotland,Oman,Oman,8 wickets,Aberdeen,2019-08-15,ODI # 4200,Team 2
127,Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,2019-08-17,ODI # 4201,Team 1
128,Scotland,Oman,Scotland,85 runs,Aberdeen,2019-08-18,ODI # 4202,Team 1
129,Scotland,P.N.G.,Scotland,38 runs,Aberdeen,2019-08-20,ODI # 4203,Team 1
130,Oman,P.N.G.,Oman,4 wickets,Aberdeen,2019-08-21,ODI # 4204,Team 1
131,U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,2019-09-13,ODI # 4205,Team 1
132,U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,2019-09-17,ODI # 4206,Team 1
133,U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,2019-09-19,ODI # 4207,Team 1
134,U.S.A.,Namibia,Namibia,139 runs,Lauderhill,2019-09-20,ODI # 4208,Team 2
135,Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,2019-09-22,ODI # 4209,Team 1
136,Namibia,P.N.G.,Namibia,27 runs,Lauderhill,2019-09-23,ODI # 4210,Team 1
137,Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,2019-09-30,ODI # 4211,Team 1
138,Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,2019-10-02,ODI # 4212,Team 1
139,Afghanistan,West Indies,West Indies,7 wickets,Lucknow,2019-11-06,ODI # 4213,Team 2
140,Afghanistan,West Indies,West Indies,47 runs,Lucknow,2019-11-09,ODI # 4214,Team 2
141,Afghanistan,West Indies,West Indies,5 wickets,Lucknow,2019-11-11,ODI # 4215,Team 2
142,U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,2019-12-08,ODI # 4216,Team 2
143,Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,2019-12-09,ODI # 4217,Team 2
144,U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,2019-12-12,ODI # 4218,Team 2
145,Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,2019-12-14,ODI # 4219,Team 1
146,U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,2019-12-15,ODI # 4220,Team 1
147,India,West Indies,West Indies,8 wickets,Chennai,2019-12-15,ODI # 4221,Team 2
